Rank,Name
1,Brandon Aubrey
2,Justin Tucker
3,Cairo Santos
4,Jason Myers
5,Matt Gay
6,Jake Elliott
7,Harrison Butker
8,Cameron Dicker
9,Blake Grupe
10,Dustin Hopkins
11,Brandon McManus
12,Jason Sanders
13,Greg Zuerlein
14,Evan McPherson
15,Younghoe Koo
16,Chase McLaughlin
17,Tyler Bass
18,Chris Boswell
19,Nick Folk
20,Jake Moody
21,Matt Prater
22,Wil Lutz
23,Anders Carlson
24,Daniel Carlson
25,Greg Joseph
26,Ka'imi Fairbairn
27,Eddy Pineiro
28,Joey Slye
29,Riley Patterson
30,Chad Ryland
31,Brett Maher
32,Lucas Havrisik
33,Graham Gano
34,Matt Ammendola
35,Randy Bullock
36,Michael Badgley
37,Mason Crosby
38,Austin Seibert
39,Matthew Wright
40,Tanner Brown
41,Jack Podlesny
42,James Turner
43,Valentino Ambrosio
44,Jude McAtamney
45,Vincent Blanchard
46,Noah Rauschenberg
47,Spencer Shrader
48,Alex McNulty
49,Camden Lewis
50,Harrison Mevis
51,Jack Browning
52,Brayden Narveson
53,Joshua Karty
54,Cam Little
55,Charlie Smyth
56,Will Reichard
57,John Parker Romo
58,Cade York
59,Steven Weatherford
60,Zac Derr
61,Ricky Schmit
62,Piotr Czech
63,Jason Reda
64,Garrett Rivas
65,Carlos Martinez
66,Andrew Wellock
67,Parker Douglass
68,Mark Hickok
69,MacKenzie Hoambrecker
70,Andrew Jacas
71,Connor Hughes
72,Garrett Lindholm
73,Kai Forbath
74,Saverio Rocca
75,Colton Theaker
