Name,PassAtt,PassYds,PassTds,INTS,RushAtt,RushYds,RushTds,TotTD,TotAtt,FPPG,FP
Josh Allen,579,"4,306",29,18,111,524,15,44,690,24.2,410.9
Jalen Hurts,538,"3,858",23,15,157,605,15,38,695,21.9,371.9
Dak Prescott,590,"4,516",36,9,55,242,2,38,645,20.7,352.0
Lamar Jackson,457,"3,678",24,7,148,821,5,29,605,21.1,338.2
Jordan Love,579,"4,159",32,11,50,247,4,36,629,19.4,330.1
Brock Purdy,444,"4,280",31,11,39,144,2,33,483,19.2,306.6
Jared Goff,605,"4,575",30,12,32,21,2,32,637,17.8,302.9
Patrick Mahomes II,597,"4,183",27,14,75,389,0,27,672,18.4,294.1
Tua Tagovailoa,560,"4,624",29,14,35,74,0,29,595,16.7,284.4
Baker Mayfield,566,"4,044",28,10,62,163,1,29,628,16.7,284.0
C.J. Stroud,499,"4,108",23,5,39,167,3,26,538,18.7,280.1
Sam Howell,612,"3,946",21,21,48,263,5,26,660,16.3,277.6
Trevor Lawrence,564,"4,016",21,14,70,339,4,25,634,17.3,276.6
Russell Wilson,447,"3,070",26,8,80,341,3,29,527,17.7,264.9
Matthew Stafford,521,"3,965",24,11,21,65,0,24,542,17.0,254.3
Derek Carr,548,"3,878",25,8,32,40,0,25,580,14.7,249.1
Justin Herbert,456,"3,134",20,7,52,228,3,23,508,18.5,240.2
Justin Fields,370,"2,562",16,9,124,657,4,20,494,18.4,239.1
Geno Smith,499,"3,624",20,9,37,155,1,21,536,15.7,235.4
Joshua Dobbs,417,"2,464",13,10,77,421,6,19,494,16.2,210.5
Gardner Minshew II,490,"3,305",15,9,34,100,3,18,524,12.8,205.2
Desmond Ridder,388,"2,836",12,12,53,193,5,17,441,12.5,188.1
Bryce Young,527,"2,877",11,10,39,253,0,11,566,10.4,166.5
Kirk Cousins,311,"2,331",18,5,14,25,0,18,325,19.4,154.9
Joe Burrow,365,"2,309",15,6,31,88,0,15,396,15.3,153.2
Kyler Murray,268,"1,799",10,5,44,244,3,13,312,18.9,151.4
Jake Browning,243,"1,936",12,7,27,127,3,15,270,16.7,150.5
Aidan O'Connell,343,"2,218",12,7,17,11,1,13,360,12.1,132.8
Zach Wilson,368,"2,271",8,7,36,211,0,8,404,10.6,126.8
Mac Jones,345,"2,120",10,12,26,96,0,10,371,10.8,118.3
Kenny Pickett,324,"2,070",6,4,42,54,1,7,366,9.5,114.2
Joe Flacco,204,"1,616",13,8,9,2,0,13,213,21.8,108.9
Will Levis,255,"1,808",8,4,25,57,1,9,280,11.8,106.1
Tommy DeVito,178,"1,101",8,3,36,195,1,9,214,9.7,96.5
Deshaun Watson,171,"1,115",7,4,26,142,1,8,197,15.2,90.9
Tyrod Taylor,180,"1,341",5,3,38,197,0,5,218,8.2,90.3
Ryan Tannehill,230,"1,616",4,7,17,74,1,5,247,9.7,87.0
Bailey Zappe,212,"1,272",6,9,17,83,1,7,229,7.8,78.2
Nick Mullens,148,"1,306",7,8,10,25,0,7,158,14.9,74.6
Anthony Richardson,84,577,3,1,25,136,4,7,109,18.4,73.6
Jimmy Garoppolo,169,"1,205",7,9,20,39,0,7,189,10.4,73.1
Taylor Heinicke,136,890,5,4,15,124,1,6,151,14.0,70.0
Easton Stick,174,"1,129",3,1,27,144,1,4,201,13.6,68.1
Daniel Jones,160,909,2,6,40,206,1,3,200,10.5,63.0
Tyson Bagent,143,859,3,6,23,109,2,5,166,11.9,59.3
Mitchell Trubisky,107,632,4,5,16,54,2,6,123,10.7,53.7
Mason Rudolph,74,719,3,0,10,8,0,3,84,9.9,39.6
Drew Lock,76,543,3,3,5,14,0,3,81,8.0,32.1
Trevor Siemian,153,724,2,4,11,40,0,2,164,6.2,30.9
Jarrett Stidham,66,496,2,1,9,8,0,2,75,9.2,27.7
Carson Wentz,24,163,2,1,17,56,1,3,41,13.6,27.1
Dorian Thompson-Robinson,112,440,1,4,14,65,0,1,126,3.3,26.1
Tyler Huntley,37,203,3,0,15,55,0,3,52,5.1,25.6
P.J. Walker,111,674,1,5,13,30,0,1,124,4.2,24.9
Sam Darnold,46,297,2,1,21,15,1,3,67,2.4,24.3
Andy Dalton,58,361,2,0,3,12,0,2,61,7.9,23.6
Jacoby Brissett,23,224,3,0,3,19,0,3,26,7.6,22.9
C.J. Beathard,53,349,1,0,8,35,0,1,61,2.7,21.5
Davis Mills,39,173,2,0,2,9,0,2,41,3.0,17.9
Jeff Driskel,26,166,2,2,7,33,0,2,33,15.9,15.9
Tim Boyle,77,360,1,4,4,5,0,1,81,5.0,14.9
Jameis Winston,47,264,2,3,5,-6,0,2,52,2.1,14.9
Case Keenum,53,291,1,3,2,1,0,1,55,6.4,12.8
Marcus Mariota,23,164,1,1,8,52,0,1,31,4.2,12.7
Clayton Tune,21,62,0,2,8,30,1,1,29,1.2,9.5
Blaine Gabbert,35,185,0,3,7,45,0,0,42,4.5,8.9
Brian Hoyer,42,231,0,2,3,-3,0,0,45,2.3,7.0
Brett Rypien,38,172,0,1,3,19,0,0,41,2.9,5.8
Cooper Rush,24,144,0,1,12,-5,0,0,36,0.5,4.2
Jaren Hall,20,168,0,1,6,14,0,0,26,1.0,3.1
Malik Willis,5,74,0,0,5,21,0,0,10,1.0,3.1
Mike White,6,74,1,1,8,-9,0,1,14,0.5,3.1
Sean Clifford,1,37,0,0,3,-2,0,0,4,0.7,1.3
AJ McCarron,5,19,0,0,0,0,0,0,5,0.4,0.8
Logan Woodside,4,27,0,1,1,6,0,0,5,0.7,0.7
Taysom Hill,11,83,1,0,81,401,4,5,92,0.0,0.0
Aaron Rodgers,1,0,0,0,0,0,0,0,1,0.0,0.0
Jayden Daniels,0,0,0,0,0,0,0,0,0,0.0,0.0
Bo Nix,0,0,0,0,0,0,0,0,0,0.0,0.0
Feleipe Franks,0,0,0,0,0,0,0,0,0,0.0,0.0
Trey Lance,0,0,0,0,0,0,0,0,0,0.0,0.0
Spencer Sanders,0,0,0,0,0,0,0,0,0,0.0,0.0
Ian Book,0,0,0,0,0,0,0,0,0,0.0,0.0
Sam Ehlinger,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Pratt,0,0,0,0,0,0,0,0,0,0.0,0.0
Tanner Mordecai,0,0,0,0,0,0,0,0,0,0.0,0.0
Nathan Rourke,0,0,0,0,0,0,0,0,0,0.0,0.0
Jordan Travis,0,0,0,0,0,0,0,0,0,0.0,0.0
Dresser Winn,0,0,0,0,0,0,0,0,0,0.0,0.0
Tanner McKee,0,0,0,0,0,0,0,0,0,0.0,0.0
Chris Oladokun,0,0,0,0,0,0,0,0,0,0.0,0.0
Devin Leary,0,0,0,0,0,0,0,0,0,0.0,0.0
Jake Haener,0,0,0,0,0,0,0,0,0,0.0,0.0
Rocky Lombardi,0,0,0,0,0,0,0,0,0,0.0,0.0
John Rhys Plumlee,0,0,0,0,0,0,0,0,0,0.0,0.0
Casey Bauman,0,0,0,0,0,0,0,0,0,0.0,0.0
Gunnar Watson,0,0,0,0,0,0,0,0,0,0.0,0.0
Zack Annexstad,0,0,0,0,0,0,0,0,0,0.0,0.0
John Paddock,0,0,0,0,0,0,0,0,0,0.0,0.0
Jack Plummer,0,0,0,0,0,0,0,0,0,0.0,0.0
Jacob Sirmon,0,0,0,0,0,0,0,0,0,0.0,0.0
Colby Suits,0,0,0,0,0,0,0,0,0,0.0,0.0
Andrew Peasley,0,0,0,0,0,0,0,0,0,0.0,0.0
John Matocha,0,0,0,0,0,0,0,0,0,0.0,0.0
Cade Peterson,0,0,0,0,0,0,0,0,0,0.0,0.0
Wiliam Thompson,0,0,0,0,0,0,0,0,0,0.0,0.0
Jeremy Moussa,0,0,0,0,0,0,0,0,0,0.0,0.0
Aeneas Dennis,0,0,0,0,0,0,0,0,0,0.0,0.0
Jason Bean,0,0,0,0,0,0,0,0,0,0.0,0.0
Joe Milton III,0,0,0,0,0,0,0,0,0,0.0,0.0
Carter Bradley,0,0,0,0,0,0,0,0,0,0.0,0.0
Gavin Hardison,0,0,0,0,0,0,0,0,0,0.0,0.0
Austin Reed,0,0,0,0,0,0,0,0,0,0.0,0.0
Spencer Rattler,0,0,0,0,0,0,0,0,0,0.0,0.0
Caleb Williams,0,0,0,0,0,0,0,0,0,0.0,0.0
Max Duggan,0,0,0,0,0,0,0,0,0,0.0,0.0
Drake Maye,0,0,0,0,0,0,0,0,0,0.0,0.0
Kedon Slovis,0,0,0,0,0,0,0,0,0,0.0,0.0
Malik Cunningham,0,0,0,0,0,0,0,0,0,0.0,0.0
Emory Jones,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Penix Jr.,0,0,0,0,0,0,0,0,0,0.0,0.0
Taulia Tagovailoa,0,0,0,0,0,0,0,0,0,0.0,0.0
J.J. McCarthy,0,0,0,0,0,0,0,0,0,0.0,0.0
Hendon Hooker,0,0,0,0,0,0,0,0,0,0.0,0.0
Drew Plitt,0,0,0,0,0,0,0,0,0,0.0,0.0
Sam Hartman,0,0,0,0,0,0,0,0,0,0.0,0.0
Skylar Thompson,0,0,0,0,0,0,0,0,0,0.0,0.0
Stetson Bennett,0,0,0,0,0,0,0,0,0,0.0,0.0
Anthony Brown Jr.,0,0,0,0,0,0,0,0,0,0.0,0.0
Ben Chappell,0,0,0,0,0,0,0,0,0,0.0,0.0
Adam Froman,0,0,0,0,0,0,0,0,0,0.0,0.0
Erik Ainge,0,0,0,0,0,0,0,0,0,0.0,0.0
Hunter Cantwell,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Johnson,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex McGough,0,0,0,0,0,0,0,0,0,0.0,0.0
Jacob Eason,0,0,0,0,0,0,0,0,0,0.0,0.0
Shane Buechele,0,0,0,0,0,0,0,0,0,0.0,0.0
John Wolford,0,0,0,0,0,0,0,0,0,0.0,0.0
Will Grier,0,0,0,0,0,0,0,0,0,0.0,0.0
Brett Smith,0,0,0,0,0,0,0,0,0,0.0,0.0
Brandon Allen,0,0,0,0,0,0,0,0,0,0.0,0.0
Nate Sudfeld,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Hiers,0,0,0,0,0,0,0,0,0,0.0,0.0
Kyle Trask,1,0,0,0,1,-1,0,0,2,-0.1,-0.1
Teddy Bridgewater,0,0,0,0,2,-2,0,0,2,-0.2,-0.2
Matt Barkley,0,0,0,0,3,-3,0,0,3,-0.3,-0.3
Nathan Peterman,0,0,0,0,2,-4,0,0,2,-0.2,-0.4
Kyle Allen,0,0,0,0,13,-13,0,0,13,-0.2,-1.3
