Rank,Name,RushAtt,RushYds,RushTds,Targets,Receptions,RecYds,RecTds,TotTD,TotTouch,FPPG,FP
1,Christian McCaffrey,272,"1,459",14,83,67,564,7,21,339,20.3,324.3
2,Rachaad White,272,990,6,70,64,549,3,9,336,12,203.9
3,Travis Etienne Jr.,267,"1,008",11,73,58,476,1,12,325,13.2,224.4
4,Joe Mixon,257,"1,034",9,64,52,376,3,12,309,12.6,215
5,Derrick Henry,280,"1,167",12,36,28,214,0,12,308,12.9,218.7
6,Tony Pollard,252,"1,005",6,67,55,311,0,6,307,9.9,167.6
7,Breece Hall,223,994,5,95,76,591,4,9,299,12.6,214.5
8,Saquon Barkley,247,962,6,60,41,280,4,10,288,13,182.2
9,Najee Harris,255,"1,035",8,38,29,170,0,8,284,9.8,166.5
10,James Cook,237,"1,122",2,54,44,445,4,6,281,11.1,188.7
11,Chuba Hubbard,238,902,5,44,39,233,0,5,277,8.4,143.5
12,Bijan Robinson,214,976,4,86,58,487,4,8,272,11.1,188.3
13,Josh Jacobs,233,805,6,54,37,296,0,6,270,11.1,144.1
14,D'Andre Swift,229,"1,049",5,49,39,214,1,6,268,10,160.3
15,Javonte Williams,217,774,3,58,47,228,2,5,264,8.3,132.2
16,Kyren Williams,228,"1,144",12,48,32,206,3,15,260,18.6,223
17,Alvin Kamara,180,694,5,86,75,466,1,6,255,12.2,158
18,Isiah Pacheco,205,935,7,49,44,244,2,9,249,12.1,169.9
19,Kenneth Walker III,219,905,8,37,29,259,1,9,248,11.4,170.4
20,Jerome Ford,204,813,4,63,44,319,5,9,248,9.8,167.2
21,Devin Singletary,216,898,4,38,30,193,0,4,246,8.1,137.3
22,David Montgomery,219,"1,015",13,24,16,117,0,13,235,13.7,191.2
23,James Conner,208,"1,040",7,33,27,165,2,9,235,13.4,174.5
24,Ezekiel Elliott,184,642,3,65,51,313,2,5,235,7.3,123.5
25,Raheem Mostert,209,"1,012",18,32,25,175,3,21,234,16.2,242.7
26,Jahmyr Gibbs,182,945,10,71,52,316,1,11,234,12.7,190.1
27,Austin Ekeler,179,628,5,74,51,436,1,6,230,9.6,134.4
28,Brian Robinson Jr.,178,733,5,43,36,368,4,9,214,10.8,162.1
29,Gus Edwards,198,810,13,13,12,180,0,13,210,10.3,175
30,Zack Moss,183,794,5,37,27,192,2,7,210,10.2,142.6
31,Jaylen Warren,149,784,4,74,61,370,0,4,210,8,135.4
32,Alexander Mattison,180,700,0,44,30,192,3,3,210,6.5,103.2
33,Tyler Allgeier,186,683,4,23,18,193,1,5,204,7,119.6
34,AJ Dillon,178,613,2,28,22,223,0,2,200,6.4,95.6
35,Rhamondre Stevenson,156,619,4,51,38,238,0,4,194,9,107.7
36,Jonathan Taylor,169,741,7,23,19,153,1,8,188,13.7,137.4
37,Aaron Jones,142,656,2,43,30,233,1,3,172,9.5,104.9
38,Dameon Pierce,145,416,2,17,13,101,0,2,158,5,69.7
39,Miles Sanders,129,432,1,41,27,154,0,1,156,3.8,60.6
40,Tyjae Spears,100,453,2,70,52,385,1,3,152,6,101.8
41,Khalil Herbert,132,611,2,31,20,134,1,3,152,7.7,92.5
42,Kareem Hunt,135,411,9,21,15,84,0,9,150,6.9,103.5
43,Zach Charbonnet,108,462,1,40,33,209,0,1,141,4.6,73.1
44,De'Von Achane,103,800,8,37,27,197,3,11,130,14.9,163.7
45,Jamaal Williams,106,306,1,20,18,62,0,1,124,3.3,42.8
46,Ty Chandler,102,461,3,25,21,159,0,3,123,5,80
47,D'Onta Foreman,109,425,4,16,11,77,1,5,120,8.9,80.2
48,Zamir White,104,451,1,19,15,98,0,1,119,3.9,58.9
49,Roschon Johnson,81,352,2,40,34,209,0,2,115,4.5,68.1
50,Joshua Kelley,107,405,2,12,8,32,0,2,115,3.2,53.7
51,Kenneth Gainwell,84,364,2,37,30,183,0,2,114,4.2,67.4
52,Antonio Gibson,65,265,1,59,48,389,2,3,113,5,79.4
53,Justice Hill,84,387,3,39,28,206,1,4,112,5.1,81.3
