Rank,Name,Recs,Targets,RecYds,RecTds,Targets/game,FPPG,FP
1,Sam LaPorta,86,120,889,10,7,9,153.3
2,Mark Andrews,45,61,544,6,3,9,90.4
3,George Kittle,65,90,"1,020",6,5,8.6,138.2
4,Travis Kelce,93,121,984,5,7,8.4,126.4
5,T.J. Hockenson,95,127,960,5,7,8.3,124
6,David Njoku,81,123,882,6,7,7.5,120.2
7,Taysom Hill,33,40,291,2,2,6.9,110.5
8,Evan Engram,114,143,963,4,8,6.8,116.3
9,Cole Kmet,73,90,719,6,5,6.4,108.1
10,Jake Ferguson,71,102,761,5,6,6.2,106.1
11,Dalton Schultz,59,88,635,5,5,6.1,91.5
12,Trey McBride,81,106,825,3,6,5.9,100.5
13,Hunter Henry,42,61,419,6,3,5.6,77.9
14,Dallas Goedert,59,83,592,3,4,5.5,77.3
15,Darren Waller,52,74,552,1,4,5.1,61.2
16,Kyle Pitts,53,90,667,3,5,5,84.3
17,Dalton Kincaid,73,91,673,2,5,4.8,77.3
18,Juwan Johnson,37,59,368,4,3,4.7,60.8
19,Logan Thomas,55,78,496,4,4,4.5,71.8
20,Jonnu Smith,50,70,582,3,4,4.4,74.2
21,Isaiah Likely,30,40,411,5,2,4.2,71.1
22,Tyler Higbee,47,70,495,2,4,4.1,61.5
23,Cade Otton,47,67,455,4,3,4.1,69.5
24,Gerald Everett,51,70,411,3,4,4,60.1
25,Donald Parham Jr.,27,41,285,4,2,3.8,52.5
26,Tyler Conklin,61,87,621,0,5,3.7,62.1
27,Pat Freiermuth,32,47,308,2,2,3.7,44.8
28,Luke Musgrave,34,46,352,1,2,3.7,41.2
29,Chigoziem Okonkwo,54,77,528,1,4,3.5,59.4
30,Zach Ertz,27,43,187,1,2,3.5,24.7
31,Tanner Hudson,39,50,352,1,2,3.4,41.2
32,Michael Mayer,27,40,304,2,2,3.2,44.4
33,Kylen Granson,30,50,368,1,2,2.9,43
34,Tucker Kraft,31,40,355,2,2,2.8,47.5
35,Dawson Knox,22,36,186,2,2,2.7,32.6
36,Brevin Jordan,17,21,219,2,1,2.6,33.9
37,Noah Gray,28,41,305,2,2,2.5,42.6
38,Noah Fant,32,43,414,0,2,2.4,41.4
39,Hayden Hurst,18,32,184,1,1,2.4,24.4
40,Adam Trautman,22,35,204,3,2,2.3,38.4
41,Durham Smythe,35,43,366,0,2,2.3,36.6
42,Tommy Tremble,23,32,194,3,1,2.3,37.4
43,Colby Parkinson,25,34,247,2,2,2.2,36.7
44,Drew Ogletree,9,21,147,2,1,2.2,26.7
45,Lucas Krull,8,14,95,1,0,2.2,15.5
46,Nick Muse,1,1,22,0,0,2.2,2.2
47,Mike Gesicki,29,45,244,2,2,2.1,36.4
48,Mo Alie-Cox,13,22,161,3,1,2.1,36.1
49,Jimmy Graham,6,7,39,4,0,2.1,27.9
50,Elijah Higgins,14,19,163,1,1,2,22.3
51,Andrew Beck,11,13,55,2,0,1.9,27.8
52,Josh Oliver,22,28,213,2,1,1.8,31.3
53,Drew Sample,22,27,163,2,1,1.7,28.3
54,Foster Moreau,21,25,193,1,1,1.7,25.3
55,Will Mallory,18,26,207,0,1,1.7,20.7
56,Daniel Bellinger,25,28,255,0,1,1.5,25.5
57,Harrison Bryant,13,20,81,3,1,1.5,24.9
58,Will Dissly,17,22,172,1,1,1.5,23.2
59,Pharaoh Brown,13,15,208,1,0,1.5,24.8
60,Austin Hooper,25,31,234,0,1,1.4,23.4
61,Johnny Mundt,17,23,172,1,1,1.4,23.2
62,Josh Whyle,9,15,94,1,0,1.4,15.4
63,Stone Smartt,11,21,155,1,1,1.3,21.5
64,Irv Smith Jr.,18,26,115,1,1,1.3,15.5
65,Greg Dulcich,3,4,25,0,0,1.3,2.5
66,Stephen Sullivan,12,24,125,0,1,1.1,12.5
67,Luke Schoonmaker,8,15,65,2,0,1.1,18.5
68,Brock Wright,13,14,91,1,0,1.1,15.1
69,Charlie Kolar,7,9,87,1,0,1.1,14.7
70,Connor Heyward,23,34,167,0,2,1,16.7
71,Jeremy Ruckert,16,22,151,0,1,1,15.1
72,MyCole Pruitt,9,12,110,1,0,1,17
73,Davis Allen,10,11,95,1,0,1,15.5
74,Cole Turner,11,15,120,0,0,1,12
75,C.J. Uzomah,8,12,58,1,0,1,11.8
76,John Bates,19,28,151,0,1,0.9,15.1
77,Luke Farrell,13,15,155,0,0,0.9,15.5
78,Jordan Akins,15,23,132,0,1,0.8,13.2
79,Robert Tonyan,11,17,112,0,1,0.7,11.2
80,Brenton Strange,5,9,35,1,0,0.7,9.5
81,Geoff Swaim,10,11,94,0,0,0.7,9.4
82,Quintin Morris,2,3,26,1,0,0.6,8.6
83,Kenny Yeboah,2,4,28,0,0,0.6,2.8
84,Marcedes Lewis,4,5,29,1,0,0.5,8.9
85,Ben Sims,4,6,21,1,0,0.5,8.1
86,Brycen Hopkins,5,7,78,0,0,0.5,7.8
87,Ian Thomas,5,9,56,0,0,0.5,5.6
88,Peyton Hendershot,4,7,38,0,0,0.5,3.8
89,Teagan Quitoriano,2,3,33,0,0,0.5,3.3
90,Blake Bell,5,9,26,1,0,0.4,6.6
91,Josiah Deguara,8,8,65,0,0,0.4,6.5
92,Ko Kieft,1,5,2,1,0,0.4,6.2
93,Darnell Washington,7,10,61,0,0,0.4,6.1
94,Payne Durham,5,7,58,0,0,0.4,5.8
95,Mitchell Wilcox,9,12,56,0,0,0.3,5.6
96,Grant Calcaterra,4,4,39,0,0,0.3,3.9
97,Cole Fotheringham,1,1,6,0,0,0.3,0.6
98,Jack Stoll,5,8,38,0,0,0.2,3.8
99,Charlie Woerner,3,3,32,0,0,0.2,3.2
100,Julian Hill,6,9,48,0,0,0.2,2.8
101,James Mitchell,2,2,28,0,0,0.2,2.8
102,Nate Adkins,4,5,22,0,0,0.2,2.2
103,Eric Saubert,3,3,12,0,0,0.2,1.2
104,John FitzPatrick,1,1,12,0,0,0.2,1.2
105,Tucker Fisk,1,1,9,0,0,0.2,0.9
106,Trevon Wesco,1,3,21,0,0,0.1,2.1
107,Chris Manhertz,2,4,16,0,0,0.1,1.6
108,Ross Dwelley,1,2,12,0,0,0.1,1.2
109,Jesper Horsted,1,1,4,0,0,0.1,0.4
110,Kevin Rader,1,3,6,0,0,0,0.6
111,Nick Vannett,1,1,3,0,0,0,0.3
112,Giovanni Ricci,1,1,2,0,0,0,0.2
113,Matt Sokol,0,0,0,0,0,0,0
114,Matt Orzech,0,0,0,0,0,0,0
115,Parker Hesse,0,0,0,0,0,0,0
116,Mitchell Fraboni,0,0,0,0,0,0,0
117,Devin Asiasi,0,0,0,0,0,0,0
118,Tommy Sweeney,0,0,0,0,0,0,0
119,Tyree Jackson,0,0,0,0,0,0,0
120,Zach Gentry,0,0,0,0,0,0,0
121,Stephen Carlson,0,0,0,0,0,0,0
122,Jody Fortson Jr.,0,0,0,0,0,0,0
123,Dalton Keene,0,0,0,0,0,0,0
124,Feleipe Franks,0,0,0,0,0,0,0
125,Noah Togiai,0,0,0,0,0,0,0
126,Lawrence Cager,4,5,36,1,0,0,0
127,Tyler Mabry,0,0,0,0,0,0,0
128,Sean McKeon,0,2,0,0,0,0,0
129,Tyler Davis,0,0,0,0,0,0,0
130,Scotty Washington,0,0,0,0,0,0,0
131,Tommy Hudson,0,0,0,0,0,0,0
132,Nick Bowers,0,0,0,0,0,0,0
133,Cade Stover,0,0,0,0,0,0,0
134,Zack Kuntz,0,0,0,0,0,0,0
135,Ryan Jones,0,0,0,0,0,0,0
136,Brayden Willis,0,0,0,0,0,0,0
137,Derek Parish,0,0,0,0,0,0,0
138,Joel Wilson,0,0,0,0,0,0,0
139,Blake Whiteheart,0,0,0,0,0,0,0
140,Henry Pearson,0,0,0,0,0,0,0
141,Patrick Murtagh,0,0,0,0,0,0,0
142,Brady Russell,0,0,0,0,0,0,0
143,E.J. Jenkins,0,0,0,0,0,0,0
144,Travis Vokolek,0,0,0,0,0,0,0
145,Johnny Lumpkin,0,0,0,0,0,0,0
146,Thomas Odukoya,0,0,0,0,0,0,0
147,Tanner Taula,0,0,0,0,0,0,0
148,Rodney Williams,0,2,0,0,0,0,0
149,Chris Pierce Jr.,0,0,0,0,0,0,0
150,Leroy Watson,0,0,0,0,0,0,0
151,Dallin Holker,0,0,0,0,0,0,0
152,Jaheim Bell,0,0,0,0,0,0,0
153,Kehinde Oginni Hassan,0,0,0,0,0,0,0
154,Jake Tonges,0,0,0,0,0,0,0
155,Zaire Mitchell-Paden,0,0,0,0,0,0,0
156,Alec Holler,0,0,0,0,0,0,0
157,Tip Reiman,0,0,0,0,0,0,0
158,Jacob Warren,0,0,0,0,0,0,0
159,Jack Westover,0,0,0,0,0,0,0
160,Brenden Bates,0,0,0,0,0,0,0
161,Messiah Swinson,0,0,0,0,0,0,0
162,Devin Culp,0,0,0,0,0,0,0
163,Luke Benson,0,0,0,0,0,0,0
164,Colson Yankoff,0,0,0,0,0,0,0
165,Steven Stilianos,0,0,0,0,0,0,0
166,Treyton Welch,0,0,0,0,0,0,0
167,Mason Pline,0,0,0,0,0,0,0
168,Jjay Mcafee,0,0,0,0,0,0,0
169,Dylan Leonard,0,0,0,0,0,0,0
170,Thomas Yassmin,0,0,0,0,0,0,0
