Rank,Name,Recs,Targets,RecYds,RecTds,Targets/game,FPPG,FP
1,Tyreek Hill,119,171,"1,799",13,10,16.1,257.4
2,CeeDee Lamb,135,181,"1,749",12,10,15.8,268.2
3,Justin Jefferson,68,100,"1,074",5,5,13.4,134.2
4,Amon-Ra St. Brown,119,164,"1,515",10,9,13.2,211.9
5,Keenan Allen,108,150,"1,243",7,8,13.1,170.9
6,Deebo Samuel Sr.,60,89,892,7,5,12.2,183.7
7,Mike Evans,79,136,"1,255",13,8,12,203.5
8,Nico Collins,80,109,"1,297",8,6,12,180.4
9,Puka Nacua,105,160,"1,486",6,9,11.4,193.5
10,DJ Moore,96,136,"1,364",8,8,11.2,190.5
11,Brandon Aiyuk,75,105,"1,342",7,6,10.9,174.2
12,A.J. Brown,106,158,"1,456",7,9,10.8,183.6
13,Tank Dell,47,75,709,7,4,10.7,118
14,Mike Williams,19,26,249,1,1,10.4,31.2
15,Amari Cooper,72,128,"1,250",5,7,10.3,155
16,Ja'Marr Chase,100,145,"1,216",7,8,10.2,162.7
17,DK Metcalf,66,119,"1,114",8,7,10,159.4
18,Stefon Diggs,107,160,"1,183",8,9,9.8,166.8
19,Davante Adams,103,175,"1,144",8,10,9.6,162.4
20,Jayden Reed,64,94,793,8,5,9.6,153.2
21,Jakobi Meyers,71,106,807,8,6,9.2,147.6
22,DeVonta Smith,81,112,"1,066",7,6,9.2,146.6
23,Calvin Ridley,76,136,"1,016",8,8,9.1,153.9
24,Chris Olave,87,138,"1,123",5,8,9,144.3
25,Jaylen Waddle,72,104,"1,014",4,6,9,126.6
26,Jordan Addison,70,108,911,10,6,8.9,151.3
27,Michael Pittman Jr.,109,156,"1,152",4,9,8.8,141.2
28,Cooper Kupp,59,95,737,5,5,8.8,105.4
29,DeAndre Hopkins,75,137,"1,057",7,8,8.7,148.6
30,George Pickens,63,106,"1,140",5,6,8.6,145.8
31,Rashee Rice,79,102,938,7,6,8.3,133.5
32,Courtland Sutton,59,90,772,10,5,8.2,131.2
33,Zay Flowers,77,108,858,5,6,8.1,129.4
34,Christian Watson,28,53,422,5,3,8.1,73.3
35,Tee Higgins,42,76,656,5,4,8,95.6
36,Kendrick Bourne,37,55,406,4,3,7.9,63
37,Diontae Johnson,51,87,717,5,5,7.8,101.7
38,Christian Kirk,57,85,787,3,5,7.8,93.3
39,Adam Thielen,103,137,"1,014",4,8,7.5,128
40,Brandin Cooks,54,81,657,8,4,7.5,119.2
41,Bo Melton,16,24,218,1,1,7.5,29.9
42,Chris Godwin,83,130,"1,024",2,7,7.4,126.2
43,Terry McLaurin,79,132,"1,002",4,7,7.3,124.2
44,Tyler Lockett,79,122,894,5,7,7.3,123.4
45,Garrett Wilson,95,168,"1,042",3,9,7,118.2
46,Rashid Shaheed,46,75,719,5,4,6.9,109.6
47,Noah Brown,33,55,567,2,3,6.9,68.6
48,Romeo Doubs,59,96,674,8,5,6.8,115.4
49,Gabe Davis,45,81,746,7,4,6.8,116.4
50,Tyler Johnson,2,3,8,1,0,6.8,6.8
51,Drake London,69,110,905,2,6,6.6,105.4
52,Joshua Palmer,38,61,581,2,3,6.2,68.7
53,Curtis Samuel,62,91,613,4,5,6,95.2
54,Hollywood Brown,51,101,574,4,5,6,83.7
55,Darius Slayton,50,79,770,4,4,5.9,101
56,Michael Wilson,38,58,565,3,3,5.9,76.5
57,Jerry Jeudy,54,87,758,2,5,5.5,87.8
58,Dontayvion Wicks,39,58,581,4,3,5.4,80.8
59,DJ Chark Jr.,35,66,525,5,3,5.4,80.5
60,Josh Downs,68,98,771,2,5,5.2,89.1
61,Josh Reynolds,40,64,608,5,3,5.2,88.8
62,Odell Beckham Jr.,35,64,565,3,3,5.2,72.5
63,Jaxon Smith-Njigba,63,93,628,4,5,5.1,86.8
64,Michael Thomas,39,64,448,1,3,5.1,50.8
65,Wan'Dale Robinson,60,78,525,1,4,4.9,73.2
66,Zay Jones,34,64,321,2,3,4.9,44.1
67,A.T. Perry,12,18,246,4,1,4.9,48.6
68,Demarcus Robinson,26,39,371,4,2,4.7,61.4
69,Jameson Williams,24,42,354,2,2,4.7,56.3
70,Tyler Boyd,67,98,667,2,5,4.6,78.8
71,Tutu Atwell,39,67,483,3,3,4.6,73.4
72,Jahan Dotson,49,83,518,4,4,4.5,75.8
73,K.J. Osborn,48,75,540,3,4,4.5,72
74,Khalil Shakir,39,45,611,2,2,4.4,74.1
75,Elijah Moore,59,104,640,2,6,4.3,73.1
76,DeMario Douglas,49,79,561,0,4,4.2,58.2
77,Brandon Johnson,19,30,284,4,1,4.2,54.4
78,Nick Westbrook-Ikhine,28,45,370,3,2,4.1,57
79,Justin Watson,27,53,460,3,3,3.9,62
80,Rondale Moore,40,62,352,1,3,3.8,65
81,Alec Pierce,32,65,514,2,3,3.7,63.4
82,Kalif Raymond,35,44,489,1,2,3.7,62.4
83,Nelson Agholor,35,45,381,4,2,3.7,62.1
84,Alex Erickson,16,29,232,1,1,3.7,29.2
85,Robert Woods,40,75,426,1,4,3.5,49.3
